Company,PN,Whse,Nomenclature,Cost,Retail,Type,Weight,Units,AltPN,Code,Vendor,Date Updated,Vendor PartID,Cost Change percentage,Status
01,14F6FA3020,01,"2"" GxF nipple adapter galv",36.98,0.00,14,0,EA,A,,ARGCO,9/10/2025,7012630A,,
01,14F6FA3024,01,"2 1/2"" GxF nipple adapter galv",52.58,0.00,14,0,EA,A,,ARGCO,9/10/2025,7012630,,
01,4V23CTTG25,01,2 1/2 VIC BFLY W/TAMP Normally Closed 707C,346.62,0.00,45,9.1,EA,A,,ETNA,,5504030,,
01,4011CRBF80,01,8 C500 W/OS&Y,10723.6,0.00,45,0,EA ,A,,TEST GAUGE,,,,
01,5B04600B5H,01,VK460 1/2 RES 5.8K HSW BR 175F,12.86,0.00,50,0.26,EA,A,,VIKING,5/14/2025,13933AD,,
01,5B04600C5H,01,VK460 1/2 RES 5.8K HSW CH 175F,13.04,0.00,50,0.26,EA,A,,VIKING,5/14/2025,13933FD,,
01,5B0460035H,01,VK460 1/2 RES 5.8K HSW WH 175F,13.04,0.00,50,0.26,EA,A,,VIKING,5/14/2025,13933MD/W,,
01,4G440150UM,01,1 1/2 Vic UM Riser Manifold,559.78,0.00,50,0.26,EA,A,,ETNA,30/11/2025,649056,,
01,40MC00PD00,01,BLUE MAGIC PINT PIPE DOPE,22.50,0.00,65,0,EA,A,,ETNA,8/21/2025,95031,,
01,40MC05TFTP,01,"1/2"" ROLL TEFLON TAPE ",0.27,0.00,65,0,EA ,A,,ARGCO,,,,
01,40GP0000C0,01,"12"" FLANGE PACK",56.81,0.00,65,0,EA ,A,,ARGCO,,,,
01,40MC0000PG,01,OATEY PIPE GREASE ,7.30,0.00,65,0.34,EA ,A,,ETNA,8/21/2025,18396,,
01,4013VGRDMT,01,4 X 1-1/4 GROOVED MECH-TEE,19.6,0.00,26,4.2,EA ,A,,CORE MAIN,,,,
01,4DELUGEGGV,01,"4"" GG DN-100 DELUGE",1154.4,0.00,45,0.26,EA,A,,,,,,
01,4G32002UMC,01,2 Vic UMC Riser Manifold,854.88,0.00,50,0,EA,A,,ETNA,8/21/2025,657130,,
01,40VIC20TMT,01,4 X 2 THREADED MECH-TEE,20.17,0.00,26,5.8,EA ,A,,CORE MAIN,,,,
01,4G32003UMC,01,3 Vic UMC Riser Manifold,1005.31,0.00,50,0,EA,A,,ETNA,8/21/2025,657132,,
01,40VIC25TMT,01,4 X 2-1/2 THREADED MECH-TEE,20.17,0.00,26,5.8,EA ,A,,CORE MAIN,,,,
01,42GALCOMFL,01,4 X 2 GALV. COMP. FLANGE,134.00,0.00,14,0.26,EA,A,,ETNA,8/21/2025,20910,,
01,4BLKMIPLUG,01,4 BLACK PLUG,11.60,0.00,12,0.26,EA,A,,ETNA,8/21/2025,1727,,
01,11F7100A0S,01,10” UNI FLANGE - STEEL W/GASKET,134.2,0.00,14,21,EA ,A,,ETNA,,,,
01,11F7100A0U,01,10” UNIFLANGE UNDERGROUND,137,0.00,14,0,EA ,A,,ETNA,30/11/2025,30577,,
01,11F9000010,01,1” FLOOR FLANGES MI,4.30,0.00,14,1.04,EA ,A,,ETNA,8/06/2025,59154,,
01,14W0P08005,01,8 X 1/2 WELD POL,1.15,0.00,15,0.17,EA ,A,,ETNA,,601244,,
01,26F3000025,01,2-1/2 VIC GRVD SHORT RADIUS TEE,9.70,0.00,23,3.6,EA ,A,,ETNA,9/9/2025,11470,,
01,26F5750025,01,2-1/2 VIC GRVD FLEXIBLE COUPLING,10.45,0.00,20,2,EA ,A,,ETNA,30/11/2025,78229,,
01,26F3000020,01,2 VIC GRVD SHORT RADIUS TEE,7.47,0.00,23,2.5,EA ,A,,ETNA,9/9/2025,44978,,
01,26F5750020,01,2 VIC GRVD FLEXIBLE COUPLING,9,0.00,20,1.6,EA ,A,,ETNA,30/11/2025,7542,,
01,3305000030,01,3” CPVC COUPLING S X S,5.67,0.00,33,0.67,EA ,A,,ETNA,30/11/2025,474,,
01,26I3M01210,01,"1 1/4"" X 1"" IGS GRVD MECH TEE VIC 922",8.23,0.00,20,0,EA,A,,ETNA,30/11/2025,474583,,
01,26I3M01510,01,"1 1/2"" X 1"" IGS GRVD MECH TEE VIC 922",8.23,0.00,20,0,EA,A,,ETNA,30/11/2025,474586,,
01,26I3M02010,01,"2"" X 1"" IGS GRVD MECH TEE VIC 922",8.67,0.00,20,0,EA,A,,ETNA,30/11/2025,474604,,
01,26I5000010,01,"1"" IGS GRVD COUPLING VIC 108",6.76,0.00,20,0,EA,A,,ETNA,9/9/2025,474592,,
01,26I7C00010,01,"1"" IGS GRVD CAP VIC 146",3.82,0.00,20,0,EA,A,,ETNA,30/11/2025,474568,,
01,2E01000012,01,1 1/4 GEM GRVD SHORT RAD ELL,4.07,0.00,26,0.85,EA,A,,CORE MAIN,,,,
01,2E01000015,01,1 1/2 GEM GRVD SHORT RAD ELL,4.29,0.00,26,0.9,EA,A,,CORE MAIN,,,,
01,2E01000020,01,2 GEM GRVD SHORT RAD ELL,4.43,0.00,26,1.47,EA,A,,CORE MAIN,,,,
01,2E01000025,01,2 1/2 GEM GRVD SHORT RAD ELL,6.75,0.00,26,2.49,EA,A,,CORE MAIN,,,,
01,2E01000030,01,3 GEM GRVD SHORT RAD ELL,9.95,0.00,26,4.22,EA,A,,CORE MAIN,,,,
